YGL248W,0
YER020W,0
YHR205W,0
YDL035C,0
YOL081W,0
YNL098C,0
YER177W,0
YGL121C,0
YFL033C,0
YJL057C,0
YBR028C,0
YGL252C,0
YKL062W,0
YBL103C,0
YJL132W,0
YAL056W,0
YKL168C,0
YOR043W,0
YOR101W,0
YOL067C,0
YOR371C,0
YLL010C,0
YLR019W,0
YAL017W,0
YNL076W,0
YJR066W,0
YOR360C,0
YIL033C,0
YMR037C,0
YJL141C,0
YDR099W,0
YDR096W,0
YOR107W,0
YCL032W,2
YDR071C,2
YLR362W,2
YHL007C,2
YDL006W,2
YJL095W,2
YDL159W,2
YOR212W,2
YLR248W,2
YDL073W,2
YMR172W,2
YIL113W,2
YHR211W,2
YGR070W,2
YKR102W,2
YAL063C,2
YBR066C,2
YJL128C,2
YER089C,2
YPL089C,2
YGR023W,2
YGR271C-A,2
YGR097W,2
YLR113W,2
YGR040W,2
YDL230W,2
YMR016C,2
YPL140C,2
YNL053W,2
YHR076W,2
YAR050W,2
YLL043W,2
YBR125C,2
YOR208W,2
YBR276C,2
YLR006C,2
YDR103W,2
YBL056W,2
YDR162C,2
YKL161C,2
YDR247W,2
YOL105C,2
YOR028C,2
YLR332W,2
YHR206W,2
YNL167C,2
YDR006C,2
YER118C,2
YDR480W,2
YJR086W,2
YIR019C,2
YPR115W,2
YBR182C,2
YNL283C,2
YPL049C,2
YER075C,2
YIL036W,2
YNR031C,2
YPR075C,2
YHR030C,2
YKL043W,2
YBL016W,2
YCR073C,2
YDR043C,2
YDR536W,2
YPL177C,2
YOL113W,2
YHR047C,2
YOR231W,2
YDR259C,2
YOL116W,2
YBR083W,2
YIL117C,2
YGR014W,2
YOR008C,2
YPR119W,1
YDR451C,1
YIL131C,1
YOR032C,1
YNL116W,1
YHR209W,1
YGR108W,1
YGR044C,1
YMR311C,1
YMR030W,1
YIL050W,1
YHR133C,1
YAL040C,1
YLR079W,1
YOR066W,1
YNL199C,1
YKR091W,1
YGL215W,1
YGR109C,1
YDL233W,1
YER167W,1
YDL056W,1
YER059W,1
YML027W,1
YJL187C,1
YOR083W,1
YNL307C,1
YNL289W,1
YGL134W,1
YLR131C,1
YPL006W,1
YKR077W,1
YNL156C,1
YDL127W,1
YCR065W,1
YPL256C,1
YPL031C,1
YDR146C,1
